Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
Passenger,Passenger | Let Her Go (Official Video),The new album 'Songs For The Drunk And Broken Hearted' is out now and available from https://www.passengermusic.com 'Let Her Go' from the album 'All the ...,RBumgq5yVrA,"Let's be honest, this song will never get old.",UgxVFoPd6VHLUaUVavZ4AaABAg,203,24269
Passenger,Passenger | Let Her Go (Official Video),The new album 'Songs For The Drunk And Broken Hearted' is out now and available from https://www.passengermusic.com 'Let Her Go' from the album 'All the ...,RBumgq5yVrA,Parabéns Passenger sua música atravessa gerações 👏👏👏👏🇧🇷🇧🇷🇧🇷,Ugw0MQ6Mm2aA19_Tkzh4AaABAg,2,52
Passenger,Passenger | Let Her Go (Official Video),The new album 'Songs For The Drunk And Broken Hearted' is out now and available from https://www.passengermusic.com 'Let Her Go' from the album 'All the ...,RBumgq5yVrA,*Don't worry you aren't alone listening to this masterpiece 💝.*,UgwWfOuGExY96geoOwx4AaABAg,12,494
Passenger,Passenger | Let Her Go (Official Video),The new album 'Songs For The Drunk And Broken Hearted' is out now and available from https://www.passengermusic.com 'Let Her Go' from the album 'All the ...,RBumgq5yVrA,"imagine how many people come here every day, this song is really legendary.",Ugz8hqxyzIjScoqqyb14AaABAg,2,125
Passenger,Passenger | Let Her Go (Official Video),The new album 'Songs For The Drunk And Broken Hearted' is out now and available from https://www.passengermusic.com 'Let Her Go' from the album 'All the ...,RBumgq5yVrA,"2013: Try not to sing
2021: Try not to cry",UgyyQ-QioBkgyqkCWFN4AaABAg,22,697
Passenger,Passenger | Let Her Go (Official Video),The new album 'Songs For The Drunk And Broken Hearted' is out now and available from https://www.passengermusic.com 'Let Her Go' from the album 'All the ...,RBumgq5yVrA,"When you're happy, you enjoy the song. When you're sad, you understand the lyrics.",UgyEpzif465GOm0qcdV4AaABAg,117,7248
Passenger,Passenger | Let Her Go (Official Video),The new album 'Songs For The Drunk And Broken Hearted' is out now and available from https://www.passengermusic.com 'Let Her Go' from the album 'All the ...,RBumgq5yVrA,"this is indeed a master piece ,got to know this track from a client, i made a midi version of this song for him.",UgxVqxBJC4keEg8qzpl4AaABAg,6,540
Passenger,Passenger | Let Her Go (Official Video),The new album 'Songs For The Drunk And Broken Hearted' is out now and available from https://www.passengermusic.com 'Let Her Go' from the album 'All the ...,RBumgq5yVrA,"Every other day I come back to listen this song and the feeling after listening this song, never gets old.. 💕",UgzC-WLAaeS4cHWenqV4AaABAg,0,32
Passenger,Passenger | Let Her Go (Official Video),The new album 'Songs For The Drunk And Broken Hearted' is out now and available from https://www.passengermusic.com 'Let Her Go' from the album 'All the ...,RBumgq5yVrA,A message to the future generations. Don't let this song die.,UgxuPufQlJ0ltlWsfut4AaABAg,22,714
Passenger,Passenger | Let Her Go (Official Video),The new album 'Songs For The Drunk And Broken Hearted' is out now and available from https://www.passengermusic.com 'Let Her Go' from the album 'All the ...,RBumgq5yVrA,"Vim aleatoriamente sem saber que música era essa e quando deu play vim saber que é uma das melhores que eu amo ❤️
18/11/2021",UgzdK1eusWnP7vmR32R4AaABAg,2,19
Passenger,Passenger | Let Her Go (Official Video),The new album 'Songs For The Drunk And Broken Hearted' is out now and available from https://www.passengermusic.com 'Let Her Go' from the album 'All the ...,RBumgq5yVrA,"To those people who are still listening out there: hold on, better days are coming sooner.❤️❤️",UgyMJAQPyZY0qLezSAp4AaABAg,357,10085
