Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,clean_comments,language
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,My wife and I loved to listen to this song over and over again. She’s gone now 3 years and I still listen to this song and think oh her. Miss you baby.,Ugz9_PQ6CmCxsBioBkt4AaABAg,123,3278,My wife and I loved to listen to this song over and over again. She’s gone now 3 years and I still listen to this song and think oh her. Miss you baby.,en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,"When you're quarantined at home, there's nothing better to do than rock out to Guns N' Roses on max volume. 👨‍🎤",UgyazONBYLFHI3o31rd4AaABAg,82,2514,"When you're quarantined at home, there's nothing better to do than rock out to Guns N' Roses on max volume. ",en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,"It's November, it's raining, there's no better music than this to listen to❤",UgwMwale66fh-91wQ014AaABAg,0,42,"It's November, it's raining, there's no better music than this to listen to",en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,This song sounds magical specially in November every year...,UgwNMIpEe7pDBkBmK9R4AaABAg,0,19,This song sounds magical specially in November every year...,en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,"This song is a masterpiece, Love and death is part of life and it can not be avoided, This song explains that exactly.",UgzRaf-4jJwAzj5c0jF4AaABAg,0,15,"This song is a masterpiece, Love and death is part of life and it can not be avoided, This song explains that exactly.",en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,"Its november, its raining. Perfect.",Ugx_uPZePDhevkTvGD54AaABAg,78,2919,"Its november, its raining. Perfect.",en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,"Great song, compositions of guitar and violins are never heard again. I enjoy this masterpiece since a long time and nothing compares to it",Ugxm47DQad6y41Kje-t4AaABAg,0,6,"Great song, compositions of guitar and violins are never heard again. I enjoy this masterpiece since a long time and nothing compares to it",en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,"This never get's old, november 16 2021 and still one of the best songs ever written.",Ugz5jrE7iW51Szuln7h4AaABAg,2,71,"This never get's old, november 16 2021 and still one of the best songs ever written.",en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,The guitar solo in 4:12 is amazing... We don't have things like this anymore,Ugy_DF894IaAL5E7BRF4AaABAg,11,374,The guitar solo in 4:12 is amazing... We don't have things like this anymore,en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,"""""""It's crazy how many people come back to this everyday.This song is legendary♪""""""❣️",Ugw1HzvRXCq5OXDpz6t4AaABAg,0,14,"""""""It's crazy how many people come back to this everyday.This song is legendary♪""""""",en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,"This night's rain blends in smoothly with this song, I can't help myself but reminisce the memories of my past...",Ugzeb68maQJixyXVUaN4AaABAg,0,20,"This night's rain blends in smoothly with this song, I can't help myself but reminisce the memories of my past...",en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,"November Rain a masterpiece Always and forever.. waiting 4 the 1 billion.
(I posted this comment a few years ago and now I'm so glad to see we did it folks, thank you! long live rock)",UgxZzMEEzrulTked2ft4AaABAg,83,3400,"November Rain a masterpiece Always and forever.. waiting 4 the 1 billion.
(I posted this comment a few years ago and now I'm so glad to see we did it folks, thank you! long live rock)",en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,"This song is like a wine, the more you listen to it the better you feel more.",Ugw75PL7YpeHPUmFEjN4AaABAg,0,32,"This song is like a wine, the more you listen to it the better you feel more.",en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,This song is pure masterpiece!!! Because of it I became fan of the Guns n' Roses...!!! 🧠💨👑😘🤩😍🎶🎵💪👏🔥🇦🇷,Ugwzs4rq326_jotmfWJ4AaABAg,0,1,This song is pure masterpiece!!! Because of it I became fan of the Guns n' Roses...!!! ,en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,"Can’t imagine how many times I play this song every single day. November Rain never gets old, and will forever be one of the greatest songs in the history of music.",UgwQbjznF2HH_qQRk8t4AaABAg,16,597,"Can’t imagine how many times I play this song every single day. November Rain never gets old, and will forever be one of the greatest songs in the history of music.",en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,"Might b THE BEST American band EVER, P.S. THIS SONG IS INSANE !!",UgxvuefnrirnnqkP1kp4AaABAg,0,3,"Might b THE BEST American band EVER, P.S. THIS SONG IS INSANE !!",en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,It’s November and its raining outside my house so this is the perfect time to listen to this masterpiece..❤️ 19/11/2021,UgzC2a_bdIxicCGNo0p4AaABAg,0,2,It’s November and its raining outside my house so this is the perfect time to listen to this masterpiece.. 19/11/2021,en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,"I remember the November of 2020... one of the best songs to put on during these incertain painful times.... from this year, I'll write ""November"" using the font letter at the beginning of this videoclip on my job's monthly documents, G' n R' rocked my childhood / my fucking 90's!",UgzK3bBa4-7-hBfjykR4AaABAg,0,2,"I remember the November of 2020... one of the best songs to put on during these incertain painful times.... from this year, I'll write ""November"" using the font letter at the beginning of this videoclip on my job's monthly documents, G' n R' rocked my childhood / my fucking 90's!",en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,7:04 This and the drumbeat from In the Air Tonight are certified LEGENDARY.,Ugx6FmzCwtVpJPe7lc54AaABAg,0,3,7:04 This and the drumbeat from In the Air Tonight are certified LEGENDARY.,en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,"It's november 2021, let's keep this song alive forever and ever. November Rain is eternal🖤",UgxCX_mJXoHMvE4KHs14AaABAg,26,545,"It's november 2021, let's keep this song alive forever and ever. November Rain is eternal",en
GunsNRosesVEVO,Guns N&#39; Roses - November Rain,"Music video by Guns N' Roses performing November Rain. YouTube view counts pre-VEVO: 6894036. (C) 1992 Guns N' Roses #VEVOCertified on June 24, ...",8SbUC-UaAxE,It's been a rainy November but this song STILL keeps my heart warm after 30 years🤘🔥🖤,UgxlQ1R77IfMhKDzgiN4AaABAg,0,0,It's been a rainy November but this song STILL keeps my heart warm after 30 years,en
