Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,clean_comments,language
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,Almost 2022 and this song is still a masterpiece.,UgxyyOolFRhwZzdeH6B4AaABAg,34,2770,Almost 2022 and this song is still a masterpiece.,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"It's November 2021, let's see how many legends are listening to this masterpiece.",UgyJIBcVyyE3WIIzpOt4AaABAg,31,1969,"It's November 2021, let's see how many legends are listening to this masterpiece.",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"This song has such a different atmosphere compared to other songs that even when you are happy and listen to it, it makes you cry and it never gets old, even if I listen to it a hundred times, I don't get bored.",UgyPundPLD47qRbQXfZ4AaABAg,6,1195,"This song has such a different atmosphere compared to other songs that even when you are happy and listen to it, it makes you cry and it never gets old, even if I listen to it a hundred times, I don't get bored.",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,This song has a powerful hit in it.,UgwyC5O-P3BBQ8lhFv54AaABAg,1,24,This song has a powerful hit in it.,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,I just can’t stop listening to it.,UgxAI_FkDVq-jWHWSdB4AaABAg,0,10,I just can’t stop listening to it.,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,18.november 2021 and this is still a masterpeace,Ugzks5jFJzbFvlP_I8Z4AaABAg,0,53,18.november 2021 and this is still a masterpeace,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"""One day after my suicide""

The day after my suicide, I fell inlove with my mother when i saw her crying on the floor of my room, hugging my bloody shirt with my photos scattered around her , I saw so  much love in her eyes!

The day after my suicide, I felt how much my father love, no matter how hard it was, In the midst of so much sadness, he spoke to me with tears in his eyes about how proud he was of me and how sensitive I was to otherd!

The day after my suicide, I saw that Kiara (my dog) was more incredible than i could have imagined. Every time someone came home, she would run to the door waiting for me and, seeing that it was not for me, would lie down in front of the door and continue waiting for me.

The day after my suicide, I loved it for my brothers when i saw them sitting in the room with their eyes full of tears, they remembered the times when we played in our beautiful childhood ... What a good time!

The day after my suicide, I felt how much my bestfriend loved me , she was looking at our photos together and remembering all the moments!

The day after my suicide, I felt that i was inportant to my teachers.They blamed each other so much for not noticing...

At night, I went to the morgue to look for my body. I get upset. I looked at myself and said:
""So many dreams we had"", ""So many loves"", ""So many people to meet"", ""You had people who loved you and yet you threw it all up "", "" You have to have a lot of courage to take your life 
Why didn't you use that courage to win?""

Thank goodness that was just a vission.


You can read this! You are still hear and can change your life forever. You are better thank you think you are . Prettier ,smarter,stronger.

""I know you will get out of this I promise you i wish you the best.""

A comment in youtube.",UgyokVim7wcaIp63XmZ4AaABAg,10,226,"""One day after my suicide""

The day after my suicide, I fell inlove with my mother when i saw her crying on the floor of my room, hugging my bloody shirt with my photos scattered around her , I saw so  much love in her eyes!

The day after my suicide, I felt how much my father love, no matter how hard it was, In the midst of so much sadness, he spoke to me with tears in his eyes about how proud he was of me and how sensitive I was to otherd!

The day after my suicide, I saw that Kiara (my dog) was more incredible than i could have imagined. Every time someone came home, she would run to the door waiting for me and, seeing that it was not for me, would lie down in front of the door and continue waiting for me.

The day after my suicide, I loved it for my brothers when i saw them sitting in the room with their eyes full of tears, they remembered the times when we played in our beautiful childhood ... What a good time!

The day after my suicide, I felt how much my bestfriend loved me , she was looking at our photos together and remembering all the moments!

The day after my suicide, I felt that i was inportant to my teachers.They blamed each other so much for not noticing...

At night, I went to the morgue to look for my body. I get upset. I looked at myself and said:
""So many dreams we had"", ""So many loves"", ""So many people to meet"", ""You had people who loved you and yet you threw it all up "", "" You have to have a lot of courage to take your life 
Why didn't you use that courage to win?""

Thank goodness that was just a vission.


You can read this! You are still hear and can change your life forever. You are better thank you think you are . Prettier ,smarter,stronger.

""I know you will get out of this I promise you i wish you the best.""

A comment in youtube.",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,I listen to this song almost every day . This is the best song that I've ever heard.,UgxBjgNotwYuT3NYG_N4AaABAg,1,27,I listen to this song almost every day . This is the best song that I've ever heard.,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,I just realized this song is 8 years old and still a masterpiece to this day . Wow 🤍,UgyuW0uxL9LhWzjsvFp4AaABAg,10,3057,I just realized this song is 8 years old and still a masterpiece to this day . Wow ,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,His song hits different when your wearing headphones ✨,UgxbcTjgZPMRYcJNDex4AaABAg,0,5,His song hits different when your wearing headphones ,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"It's been 10 years, we are almost in 2022 and this song is still a masterpiece ...
Greetings from Italy 👋❤️🇮🇹",UgzUCEDXpWM6oqhP-7p4AaABAg,0,151,"It's been 10 years, we are almost in 2022 and this song is still a masterpiece ...
Greetings from Italy ",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,It's almost 2022 and I am here still listening to this Master piece ❤️❤️❤️🔥,UgwU8SIiI5fipliHvZl4AaABAg,0,6,It's almost 2022 and I am here still listening to this Master piece ,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,Unpopular opinion: this song is the masterpiece of our generation,Ugxs-4VjoONE34lpIiN4AaABAg,54,9967,Unpopular opinion: this song is the masterpiece of our generation,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,9 years later and this song still hits different. Truly a masterpiece.,UgzI2QRXkPtXFkWrxS94AaABAg,1,74,9 years later and this song still hits different. Truly a masterpiece.,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,This song actually makes me feel something which is rare these days,UgyE253ECQYUe4qZE-54AaABAg,0,2,This song actually makes me feel something which is rare these days,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,Bruh it’s crazy how this song is still going shows how great of a piece this is truly,Ugz607RJzC62VhQSyAx4AaABAg,1,101,Bruh it’s crazy how this song is still going shows how great of a piece this is truly,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,this is the simplest and yet best music video ever.,UggjR394cHAOHngCoAEC,134,27841,this is the simplest and yet best music video ever.,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,We will come 2022 and I still love this music 🥺💔,UgzQ9B4uLkQD-CA6nKJ4AaABAg,0,8,We will come 2022 and I still love this music ,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,This songs gets even better with time. ❤️ One of my favs,UgxyB9awBvJIcVOxh4t4AaABAg,0,1,This songs gets even better with time.  One of my favs,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"Whenever i listen to this song, it always brings back to the memory of 2 years ago.",UgxwDleUMTliGfNLZRp4AaABAg,0,2,"Whenever i listen to this song, it always brings back to the memory of 2 years ago.",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"Listening to this song when I was 13 without a worry in the world, then fast forward to 21 and this song has never felt so relatable .-.",Ugzqon7FKhCp726fzDh4AaABAg,0,29,"Listening to this song when I was 13 without a worry in the world, then fast forward to 21 and this song has never felt so relatable .-.",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"This song never gets old. No matter how much I listen, I never get bored.",UgwfrS_JsgGk8Q3efu54AaABAg,82,11330,"This song never gets old. No matter how much I listen, I never get bored.",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,I hope people come back 9 years from now to cherish this piece of gold,UgydMd0WDsHTps3m5MR4AaABAg,0,71,I hope people come back 9 years from now to cherish this piece of gold,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,2 months till 2022 and I'm still listining to this song 😭✨,UgxSjWh3MWlKg2x7qEN4AaABAg,3,65,2 months till 2022 and I'm still listining to this song ,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"Every time I listen it, I cry. I don't know. Like all my problems meet and kill me. I saw clip the first time and I'm upset I haven't done it yet. 
""Another Love"" is my love.
Thank you.",UgwTYaTCu23ocjSUDop4AaABAg,0,4,"Every time I listen it, I cry. I don't know. Like all my problems meet and kill me. I saw clip the first time and I'm upset I haven't done it yet. 
""Another Love"" is my love.
Thank you.",en
