Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,clean_comments,language
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"To the people who don't know the story behind:
“when i was in high school, i had a crush on the same one person all four years. but that one person did not love me back, instead my crush liked a girl named heather. heather was gentle and beautiful, inside and out. she was warm like a summer day, and had so many friends. she was soft and so easily lovable– everything i am not. the heather video is my way of becoming all of the things that i envy about heather. i would’ve done anything to be like her. wear the right pretty clothes and act the right effortless way. reject all the things that made me who i am. anything to be loved back by the person i loved. anything to be their first choice. the slow transformation throughout the video was made to represent the feminine and masculine traits i constantly switched between in order to become who i knew my crush would like. somebody soft and sweet. somebody like heather.”
https://uproxx.com/pop/conan-gray-heather-video/ -actual link to this",UgwZzsc9NPGTQposoR54AaABAg,41,7083,"To the people who don't know the story behind:
“when i was in high school, i had a crush on the same one person all four years. but that one person did not love me back, instead my crush liked a girl named heather. heather was gentle and beautiful, inside and out. she was warm like a summer day, and had so many friends. she was soft and so easily lovable– everything i am not. the heather video is my way of becoming all of the things that i envy about heather. i would’ve done anything to be like her. wear the right pretty clothes and act the right effortless way. reject all the things that made me who i am. anything to be loved back by the person i loved. anything to be their first choice. the slow transformation throughout the video was made to represent the feminine and masculine traits i constantly switched between in order to become who i knew my crush would like. somebody soft and sweet. somebody like heather.”
https://uproxx.com/pop/conan-gray-heather-video/ -actual link to this",en
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,Who else just randomly remembered this song,UgyU90SPV_jLTGSK41x4AaABAg,19,584,Who else just randomly remembered this song,en
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"Conan: You gave her your sweater, its just polyester.
Polyester: *I wish I were leather*",UgyK_JlYpTu0KtnQxaR4AaABAg,39,3429,"Conan: You gave her your sweater, its just polyester.
Polyester: *I wish I were leather*",en
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"Lyric
I still remember the third of December, me in your sweater
You said it looked better on me than it did you
Only if you knew how much I liked you
But I watch your eyes as she

Walks by
What a sight for sore eyes
Brighter than the blue sky
She's got you mesmerized while I die

Why would you ever kiss me?
I'm not even half as pretty
You gave her your sweater, it's just polyester
But you like her better
Wish I were Heather

Watch as she stands with her, holding your hand
Put your arm 'round her shoulder, now I'm getting colder
But how could I hate her? She's such an angel
But then again, kinda wish she were dead as she

Walks by
What a sight for sore eyes
Brighter than the blue sky
She's got you mesmerized while I die

Why would you ever kiss me?
I'm not even half as pretty
You gave her your sweater, it's just polyester
But you like her better
I wish I were Heather

I wish I were Heather
(Oh, oh)

Wish I were Heather

Why would you ever kiss me?
I'm not even half as pretty
You gave her your sweater, it's just polyester

But you like her better
Wish I were...

Ind, 18-11-21",UgwJaJ5FWJJi1CFmgrJ4AaABAg,2,69,"Lyric
I still remember the third of December, me in your sweater
You said it looked better on me than it did you
Only if you knew how much I liked you
But I watch your eyes as she

Walks by
What a sight for sore eyes
Brighter than the blue sky
She's got you mesmerized while I die

Why would you ever kiss me?
I'm not even half as pretty
You gave her your sweater, it's just polyester
But you like her better
Wish I were Heather

Watch as she stands with her, holding your hand
Put your arm 'round her shoulder, now I'm getting colder
But how could I hate her? She's such an angel
But then again, kinda wish she were dead as she

Walks by
What a sight for sore eyes
Brighter than the blue sky
She's got you mesmerized while I die

Why would you ever kiss me?
I'm not even half as pretty
You gave her your sweater, it's just polyester
But you like her better
I wish I were Heather

I wish I were Heather
(Oh, oh)

Wish I were Heather

Why would you ever kiss me?
I'm not even half as pretty
You gave her your sweater, it's just polyester

But you like her better
Wish I were...

Ind, 18-11-21",en
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"*make this as a ""I'm proud of Conan"" button*",UgzgrtbHo7ojrC5rXCR4AaABAg,75,35574,"*make this as a ""I'm proud of Conan"" button*",en
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"Don’t worry, you’re not alone if you’re still listening to this masterpiece in October 2021
Edit: Now in November!!!",UgwBXPZJaJ4d_riz5B54AaABAg,43,1267,"Don’t worry, you’re not alone if you’re still listening to this masterpiece in October 2021
Edit: Now in November!!!",en
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"The part were he says: ""But I watched your eyes as she walks by"" has a magical tone that gives me goosebumps and kills me inside in a good way every time.
This song is so beautiful that i'm crying rn",UgyC8jXCyofDpsQC9uR4AaABAg,1,4,"The part were he says: ""But I watched your eyes as she walks by"" has a magical tone that gives me goosebumps and kills me inside in a good way every time.
This song is so beautiful that i'm crying rn",en
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"I didn't realized the deep down lyrics when I first listened to Heather song cause I was jst vibing with the music and now after listening for so many times I finally got to feel the hotness, the pain, the emotion that the way he put in this song ,it's mesmerizing. I hope he'll find the love back from the love of  his life <3.",Ugyy1SSXzgu1jMjNueB4AaABAg,0,11,"I didn't realized the deep down lyrics when I first listened to Heather song cause I was jst vibing with the music and now after listening for so many times I finally got to feel the hotness, the pain, the emotion that the way he put in this song ,it's mesmerizing. I hope he'll find the love back from the love of  his life <3.",en
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"Ok, but how terrifyingly beautiful must Heather be if Conan isn’t even HALF as pretty",UgwmfUvbW_3fI4AeWYt4AaABAg,343,28027,"Ok, but how terrifyingly beautiful must Heather be if Conan isn’t even HALF as pretty",en
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,Conan is literally the word aesthetic being human,Ugw50xo0jaAWrxCnzoZ4AaABAg,4,394,Conan is literally the word aesthetic being human,en
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"Heres the real story behind this song: when i was in high school, i had a crush on the same one person all four years. but that one person did not love me back, instead my crush liked a girl named heather. heather was gentle and beautiful, inside and out. she was warm like a summer day, and had so many friends. she was soft and so easily lovable– everything i am not. the heather video is my way of becoming all of the things that i envy about heather. i would’ve done anything to be like her. wear the right pretty clothes and act the right effortless way. reject all the things that made me who i am. anything to be loved back by the person i loved. anything to be their first choice. the slow transformation throughout the video was made to represent the feminine and masculine traits i constantly switched between in order to become who i knew my crush would like. somebody soft and sweet. somebody like heather.",Ugwykkk5ajziSGVk4uR4AaABAg,0,3,"Heres the real story behind this song: when i was in high school, i had a crush on the same one person all four years. but that one person did not love me back, instead my crush liked a girl named heather. heather was gentle and beautiful, inside and out. she was warm like a summer day, and had so many friends. she was soft and so easily lovable– everything i am not. the heather video is my way of becoming all of the things that i envy about heather. i would’ve done anything to be like her. wear the right pretty clothes and act the right effortless way. reject all the things that made me who i am. anything to be loved back by the person i loved. anything to be their first choice. the slow transformation throughout the video was made to represent the feminine and masculine traits i constantly switched between in order to become who i knew my crush would like. somebody soft and sweet. somebody like heather.",en
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"I just wanna vent out my Heather story since I've never told anyone before. 
She was the girl I discovered about my sexuality, I've never liked anyone for long and she hit me hard, probably the hardest. She was introvert and I was extrovert,  she was a serious and cold person while i was a pure dork and hugger one, she was the smartest in class while I used to fail every subject,  yet i still fell for her so hard. But I knew that not only she was still in the closet but she was already in love with another girl, a girl that had everything she wanted and everything I lacked, and I hate myself bc I always knew that, and I always knew she wouldn't like me back. I tried to forget her I even tried dating a guy, but i ended up throwing up the first day I dated him bc I didn't like it at all, just by seeing one picture of her even if it was a blurry stupid one I felt so happy, so even if I knew I shouldn't I still tried to spend any opportunity I could to be with her, but lil by lil I realised how lil she cared about me and how much she loved her and that I was just an obstacle between them. Then something happened that really marked me, I decided to close all contacts with her and after nearly 2 years of that stupid one sided love I'm finally starting to move on, prob will get a girlfriend soon too <3",UgwrEyFASDky_7zMzMF4AaABAg,15,462,"I just wanna vent out my Heather story since I've never told anyone before. 
She was the girl I discovered about my sexuality, I've never liked anyone for long and she hit me hard, probably the hardest. She was introvert and I was extrovert,  she was a serious and cold person while i was a pure dork and hugger one, she was the smartest in class while I used to fail every subject,  yet i still fell for her so hard. But I knew that not only she was still in the closet but she was already in love with another girl, a girl that had everything she wanted and everything I lacked, and I hate myself bc I always knew that, and I always knew she wouldn't like me back. I tried to forget her I even tried dating a guy, but i ended up throwing up the first day I dated him bc I didn't like it at all, just by seeing one picture of her even if it was a blurry stupid one I felt so happy, so even if I knew I shouldn't I still tried to spend any opportunity I could to be with her, but lil by lil I realised how lil she cared about me and how much she loved her and that I was just an obstacle between them. Then something happened that really marked me, I decided to close all contacts with her and after nearly 2 years of that stupid one sided love I'm finally starting to move on, prob will get a girlfriend soon too <3",en
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,*When you don’t even have a boyfriend or girlfriend but you still cry to this song every night*,UgwSlAqTDC0QqVji1Fd4AaABAg,102,15550,*When you don’t even have a boyfriend or girlfriend but you still cry to this song every night*,en
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"Wanna hear my heather story? Hear we go.

I fell hard for my friend “S.” She was my friend and I was pretty sure she was straight. Because of that, I tried hard to kill the little crush. Then eventually that crush lasted for a year, and it might sound a little silly, but I would always get little panics when ever I saw her. Seeing her everyday would make it worth it to go through the school day, even to go outside. Even when she wasn’t around it would still be worth because the day I saw her like that, it felt like the world was a better place to be in. S is probably not even very attractive in the public’s eye. Or wasn’t even very popular, or extroverted.

And that’s where heather comes in. Heather was the childhood best friend to her, and I couldn’t interfere whenever she was around. Heather was much more sweeter, prettier, and much closer to S than I was. Heather had lots of friends for her kindness, and compared to her world, I was a problem. I remember every time I would hang out with S, she would have this passive aggressive vibe when she came to chat. Eventually S talking to me would be heather talking to S. And I was kicked out. But recently, I’ve been doing better! I feel like I’ve became closer with S and all of my friends. So S, if you are reading this. Thank you so much.",UgzdlugbSdgMw5oxtGp4AaABAg,31,662,"Wanna hear my heather story? Hear we go.

I fell hard for my friend “S.” She was my friend and I was pretty sure she was straight. Because of that, I tried hard to kill the little crush. Then eventually that crush lasted for a year, and it might sound a little silly, but I would always get little panics when ever I saw her. Seeing her everyday would make it worth it to go through the school day, even to go outside. Even when she wasn’t around it would still be worth because the day I saw her like that, it felt like the world was a better place to be in. S is probably not even very attractive in the public’s eye. Or wasn’t even very popular, or extroverted.

And that’s where heather comes in. Heather was the childhood best friend to her, and I couldn’t interfere whenever she was around. Heather was much more sweeter, prettier, and much closer to S than I was. Heather had lots of friends for her kindness, and compared to her world, I was a problem. I remember every time I would hang out with S, she would have this passive aggressive vibe when she came to chat. Eventually S talking to me would be heather talking to S. And I was kicked out. But recently, I’ve been doing better! I feel like I’ve became closer with S and all of my friends. So S, if you are reading this. Thank you so much.",en
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"Heather isn’t just a pretty person. Heather is everything you would want to be. She makes everyone happy and everyone wants to be around her. She’s kind (so if you’re comparing yourself to “rude people”, they’re not Heather) and compassionate and has everything you could ever dream of. It’s as if she has the perfect life. It angers you so much but you just can’t hate her, so you look at the sidelines and watch. But you don’t have to be Heather, you’re special in your own way",Ugwx7GW5lS-6Z1mY5xJ4AaABAg,27,5610,"Heather isn’t just a pretty person. Heather is everything you would want to be. She makes everyone happy and everyone wants to be around her. She’s kind (so if you’re comparing yourself to “rude people”, they’re not Heather) and compassionate and has everything you could ever dream of. It’s as if she has the perfect life. It angers you so much but you just can’t hate her, so you look at the sidelines and watch. But you don’t have to be Heather, you’re special in your own way",en
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"yeah, only non-heathers Can like this 👩‍⚖️",UgzHi1-PcW7ZqQQwl0l4AaABAg,91,13452,"yeah, only non-heathers Can like this ",en
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"Reason why I like Conan:
1. His songs are seriously so dang good
2. He look so hawt
3. BI VIBESSS
4. His songs makes my day 
5. He looks like my crush 😳 (jk)
6. He is aesthetic 
7. His songs makes me feel like me",UgwAkZMhTq-leI0l9LF4AaABAg,1,66,"Reason why I like Conan:
1. His songs are seriously so dang good
2. He look so hawt
3. BI VIBESSS
4. His songs makes my day 
5. He looks like my crush  (jk)
6. He is aesthetic 
7. His songs makes me feel like me",en
