Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"To the people who don't know the story behind:
“when i was in high school, i had a crush on the same one person all four years. but that one person did not love me back, instead my crush liked a girl named heather. heather was gentle and beautiful, inside and out. she was warm like a summer day, and had so many friends. she was soft and so easily lovable– everything i am not. the heather video is my way of becoming all of the things that i envy about heather. i would’ve done anything to be like her. wear the right pretty clothes and act the right effortless way. reject all the things that made me who i am. anything to be loved back by the person i loved. anything to be their first choice. the slow transformation throughout the video was made to represent the feminine and masculine traits i constantly switched between in order to become who i knew my crush would like. somebody soft and sweet. somebody like heather.”
https://uproxx.com/pop/conan-gray-heather-video/ -actual link to this",UgwZzsc9NPGTQposoR54AaABAg,41,7083
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,Who else just randomly remembered this song,UgyU90SPV_jLTGSK41x4AaABAg,19,584
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"Conan: You gave her your sweater, its just polyester.
Polyester: *I wish I were leather*",UgyK_JlYpTu0KtnQxaR4AaABAg,39,3429
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,Amo esta canción ❤️,Ugza-Mk3OQbkY2M9D2R4AaABAg,1,7
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"Lyric
I still remember the third of December, me in your sweater
You said it looked better on me than it did you
Only if you knew how much I liked you
But I watch your eyes as she

Walks by
What a sight for sore eyes
Brighter than the blue sky
She's got you mesmerized while I die

Why would you ever kiss me?
I'm not even half as pretty
You gave her your sweater, it's just polyester
But you like her better
Wish I were Heather

Watch as she stands with her, holding your hand
Put your arm 'round her shoulder, now I'm getting colder
But how could I hate her? She's such an angel
But then again, kinda wish she were dead as she

Walks by
What a sight for sore eyes
Brighter than the blue sky
She's got you mesmerized while I die

Why would you ever kiss me?
I'm not even half as pretty
You gave her your sweater, it's just polyester
But you like her better
I wish I were Heather

I wish I were Heather
(Oh, oh)

Wish I were Heather

Why would you ever kiss me?
I'm not even half as pretty
You gave her your sweater, it's just polyester

But you like her better
Wish I were...

Ind, 18-11-21",UgwJaJ5FWJJi1CFmgrJ4AaABAg,2,69
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"*make this as a ""I'm proud of Conan"" button*",UgzgrtbHo7ojrC5rXCR4AaABAg,75,35574
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"Don’t worry, you’re not alone if you’re still listening to this masterpiece in October 2021
Edit: Now in November!!!",UgwBXPZJaJ4d_riz5B54AaABAg,43,1267
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"The part were he says: ""But I watched your eyes as she walks by"" has a magical tone that gives me goosebumps and kills me inside in a good way every time.
This song is so beautiful that i'm crying rn",UgyC8jXCyofDpsQC9uR4AaABAg,1,4
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,Cumplió un año qué salió está linda canción y aún le sigo llorando.♡,Ugw5aliQDcApRSIBP954AaABAg,8,412
ConanGrayVEVO,Conan Gray - Heather,"Official music video by Conan Gray performing ""Heather” Conan's debut album ""Kid Krow"" available everywhere now: https://ConanGray.lnk.to/KidKrow Connect ...",24u3NoPvgMw,"I didn't realized the deep down lyrics when I first listened to Heather song cause I was jst vibing with the music and now after listening for so many times I finally got to feel the hotness, the pain, the emotion that the way he put in this song ,it's mesmerizing. I hope he'll find the love back from the love of  his life <3.",Ugyy1SSXzgu1jMjNueB4AaABAg,0,11
