Video ID,Comment ID,comments,Likes
Jkj36B1YuDU,UgwJwxwB__ICGs3XGUR4AaABAg,  It's  18th  November        Let's  see  how  many  legends  are  listeting  to  this  masterpiece    ,5
Jkj36B1YuDU,Ugyw4xmJBr6n6gVpqjN4AaABAg,This  song  has  no  subtitles  because  everyone  feels  the  same  emotion  when  listening  to  this  song    no  matter  what  language  it  is  in      ,45
Jkj36B1YuDU,UgwLWK6Mc_YN4JXItPl4AaABAg,This  song  just  describes  my  situation  my  family  is  divided  and  I  don't  have  many  people  to  talk  to    thanks  for  this  song,1
Jkj36B1YuDU,UgxT-OQFH6iHvElTcy94AaABAg,I  DID  IT  GUYS    I  FOUND  MY  LOVE  ,67110
Jkj36B1YuDU,UgzSJrVYPxRfvCVS6gd4AaABAg,  All  my  tears  have  been  used  up    This  one  really  hurts  my  feelings  because  it  remembers  me  of  my  ex  bsf      ,21
Jkj36B1YuDU,UgyBTg9JdKfodPbd9eR4AaABAg,  And  I  wanna  cry  but  my  tears  have  been  used  up  ,1
Jkj36B1YuDU,UgwtGqfYwQvcqKEFuaV4AaABAg,We  are  all  so  destroyed  inside      ,72
Jkj36B1YuDU,UgzqtJKE_dbkleTq1b54AaABAg,  the  worst  day  of  loving  someone  is  the  day  that  you  loose  them    Elena  Gilbert    3,2566
Jkj36B1YuDU,UgwjXs4jfpLZoHGqqTF4AaABAg,Pillow      don  t  worry  I  ll  be  here  for  you  when  you  re  upset      Mirror      don  t  worry  I  won  t  laugh  when  you  feel  ugly      Shower      don  t  worry  I  won  t  judge  your  singing      My  mind      don  t  worry  I  won  t  tell  anyone  how  you  re  really  doing  on  the  inside      I  want  to  thank  these  things  for  being  there  for  me  when  I  needed  it      ,67
Jkj36B1YuDU,Ugw2MD2KBYSt8bvAmT14AaABAg,i've  never  been  in  love  before  i'll  update  you  when  I  find  someone  who  makes  this  song  mean  something  to  me  ,16
Jkj36B1YuDU,UgzLNLQstril2qWUCE94AaABAg,Everytime  i  hear  the  Song  i  must  cry  ,7
Jkj36B1YuDU,Ugy9jEzHAfmqudg_cpJ4AaABAg,It  warms  my  heart      just  know  this  is  beautiful,0
Jkj36B1YuDU,Ugzmgj-wDiCq2Xlwk3x4AaABAg,This  is  the  new  generation  of  somebody  that  i  used  to  know    Amazing  ,5
Jkj36B1YuDU,UgwvJp8xh_yMkmR69J54AaABAg,This  song  is  beautiful  it  makes  me  wanna  cry  of  joy,0
Jkj36B1YuDU,Ugyn20ARosKwwe-rG2l4AaABAg,Not  friends    not  enemies    just  strangers  with  memories    ,3842
Jkj36B1YuDU,UgyX_HhT9f0eoP7agfV4AaABAg,  It's  20th  November    let's  see  how  many  legends  listening  to  this  masterpiece  '',1
Jkj36B1YuDU,Ugy226P6aCy4zEKvSgZ4AaABAg,It  s  November  13th  2021    Let  s  see  how  many  people  are  still  listening  to  this  masterpiece,86
Jkj36B1YuDU,UgznFIaygAU1_BbEy194AaABAg,I  really  love  this  song,3
Jkj36B1YuDU,UgyZWOgwNgD4-GdL-ZJ4AaABAg,POV  your  the  friend  that  hides  their  emotions  and  try  s  to  make  their  friends  happy  And  is  always  left  out  of  the  group  and  has  anxiety  ,1921
Jkj36B1YuDU,UgwcT3FDxEAeVVOM_OF4AaABAg,I  just  can't  stop  have  really  strong  TVD  vibes  while  listening  to  this,14
Jkj36B1YuDU,UgzKlCmacHT3PeNAM0p4AaABAg,  It  s  20th  November    let  s  see  how  many  legends  listening  to  this  masterpiece    ,1
Jkj36B1YuDU,UgyPCmrsx1_x92IlPx54AaABAg,This  hits  hard  after  losing  the  person  you  love                I  didn't  only  lose  them  as  a  lover  I  lost  them  as  a  friend  too      ,5
Jkj36B1YuDU,UgzqGx7kVO5NEnpMnZp4AaABAg,I  wanna  listen  to  this  while  laying  in  the  rain,4644
Jkj36B1YuDU,UgyNW22rA4-TXKLAzXR4AaABAg,idk  what  this  song  gives  me    saddness    happiness    peace  idk    its  just  perfect          ,5
Jkj36B1YuDU,UgwBXSV0f_hzKNZFzQx4AaABAg,HURRAY  FINALLY  I  FOUND  THIS  BEAUTIFUL  SONG  THANKS  YOU          ,2
Jkj36B1YuDU,Ugx4wAfXKGffTakT52h4AaABAg,why  am  i  crying  over  a  relationship  i  never  had,8715
Jkj36B1YuDU,Ugx6WoanG1SjwBeLNSZ4AaABAg,Has  anyone  else  sacrificed  their  happiness  in  so  many  relationships  for  others  to  be  happy  and  that's  why  u  relate  to  this  song,9
Jkj36B1YuDU,UgyyvExkI2MbNJR-4wx4AaABAg,This  song  hurts  deep  inside  the  heart,1
Jkj36B1YuDU,UgxG95pLPEYRLT-tFeR4AaABAg,I've  know  this  song  word  for  word  ever  since  it  came  out  my  favorite  song  ever,0
Jkj36B1YuDU,Ugx-AKvCipftdH_bsrN4AaABAg,Me    just  viben  to  this  song  cause  i  exactly  feel  the  feelings  in  this  song,0
Jkj36B1YuDU,Ugy6S_5X16IpUs2oFxx4AaABAg,I  m  terrified  of  my  future  kids  crying  in  their  room  while  I  think  they  are  perfectly  fine    I  don  t  want  them  to  go  through  that,6643
Jkj36B1YuDU,UgyNff6Hwdiy51_HJLJ4AaABAg,I  am  listening  rn  with  my  love  ,3
Jkj36B1YuDU,UgxL8ZJLaLn9k8bHDqF4AaABAg,honestly  i  can  relate  to  the  lyrics  so  much      ,0
Jkj36B1YuDU,Ugy29_9YjUB72I_Q1_J4AaABAg,Never  get  tired  of  this  ,0
Jkj36B1YuDU,UgzN3MeSjNvz85NR-OZ4AaABAg,I  can't  relate  to  this  song  but  I  still  love  it  got  me  emotional  many  times    I  really  like  songs  with  a  good  meaning,2
Jkj36B1YuDU,Ugx9zcjBYT9HGMs_2Rh4AaABAg,the  fact  that  every  hour  lots  of  people  come  back  here  just  to  hear  this  song  again  makes  this  song  special,2658
Jkj36B1YuDU,Ugw3yWC1mpPZwdGEAnV4AaABAg,Not  me  actually  crying  my  eyes  out  while  listening  to  this  song  ,0
Jkj36B1YuDU,UgyHRKxrVDdGP91Htmd4AaABAg,Every  time  I  listen  to  this  song  my  feelings  are  shaken    I  love  this  song  so  much  ,3
Jkj36B1YuDU,Ugy7wpSYYTiMEEZ6-oV4AaABAg,I  LOVE  THIS  SONG,0
Jkj36B1YuDU,UgxNJ-nGx0jkcmAgQeF4AaABAg,The  one  part  at  about  1  min  40  secs  literally  makes  my  soul  leave  and  reenter  my  body  and  its  great,4
Jkj36B1YuDU,UgwM013Z-LeumjIZ0OZ4AaABAg,this  is  the  type  of  music  you  listen  to  when  the  homies  aren  t  around,2563
Jkj36B1YuDU,Ugzj8gTDU1kiH_FXJ3x4AaABAg,Its  almost  2022  and  this  is  one  of  my  favorute  songs,0
Jkj36B1YuDU,UgwVy74VO52TAhfnRIh4AaABAg,I  just  asked  my  boyfriend  what  he  would  do  if  he  could  never  have  me  in  his  life  and  this  was  his  reply    with  me  crying  at  2am  cuz  of  how  much  I'm  loved  by  him    he's  my  blessing    and  I'd  do  anything  and  everything  to  be  there  for  him  ,29
Jkj36B1YuDU,UgxodoEt_SJEcBHb8AR4AaABAg,This  song  gives  me  the  chills  ,0
Jkj36B1YuDU,UgxjFwuqrXgoy6wXVGR4AaABAg,I  wanna  listen  to  this  song  while  watching  sunrise  on  my  own,1
