Video ID,Comment ID,comments,Likes
RBumgq5yVrA,UgxVFoPd6VHLUaUVavZ4AaABAg,Let's  be  honest    this  song  will  never  get  old  ,24274
RBumgq5yVrA,UgwWfOuGExY96geoOwx4AaABAg,  Don't  worry  you  aren't  alone  listening  to  this  masterpiece      ,502
RBumgq5yVrA,Ugz8hqxyzIjScoqqyb14AaABAg,imagine  how  many  people  come  here  every  day    this  song  is  really  legendary  ,128
RBumgq5yVrA,UgxVqxBJC4keEg8qzpl4AaABAg,this  is  indeed  a  master  piece    got  to  know  this  track  from  a  client    i  made  a  midi  version  of  this  song  for  him  ,542
RBumgq5yVrA,UgyEpzif465GOm0qcdV4AaABAg,When  you're  happy    you  enjoy  the  song    When  you're  sad    you  understand  the  lyrics  ,7250
RBumgq5yVrA,UgzC-WLAaeS4cHWenqV4AaABAg,Every  other  day  I  come  back  to  listen  this  song  and  the  feeling  after  listening  this  song    never  gets  old      ,33
RBumgq5yVrA,UgxuPufQlJ0ltlWsfut4AaABAg,A  message  to  the  future  generations    Don't  let  this  song  die  ,715
RBumgq5yVrA,UgywyRVAdV6cT-J5zhp4AaABAg,The  best  thing  about  this  song  is  it  never  gets  old,24
RBumgq5yVrA,UgyMJAQPyZY0qLezSAp4AaABAg,To  those  people  who  are  still  listening  out  there    hold  on    better  days  are  coming  sooner  ,10087
RBumgq5yVrA,UgyD79QTxKoT1DxdcFB4AaABAg,this  is  the  favorite  song  of  my  brother  who  passed  away  recently    RIP  Joey  we  miss  you  from  all  our  hearts,28
RBumgq5yVrA,Ugw3RNCnpSuFKskkYDx4AaABAg,It's  crazy  many  people  come  back  to  this  everyday    This  song  is  legendary    it's  so  Addictive  ,3
RBumgq5yVrA,Ugz_EJPYsnzKQwnOaTh4AaABAg,This  always  will  be  the  anthem  of  the  people  who  re  in  love  but  not  loved  back,5450
RBumgq5yVrA,Ugx0RkJ4IIwFbeNCCgd4AaABAg,I  memorized  the  lyrics  when  I  was  like  6  or  7  years  old  and  everytime  I  listen  to  this  song          it  represents  the  current  situation  now    to  just  let  go  of  everyone  who  passed  away  because  of  the  covid  and  it  hurts  to  let  go  ,3
RBumgq5yVrA,UgxE2uAvpVqOLgr6xbh4AaABAg,I  love  this  song    Can  t  explain  how  much  I  love  it  and  how  sad  it  is  listening  to  it  after  years    This  was  my  childhood  song    and  I  always  sang  it  with  my  mother    Good  times  back  then    Now  that  the  world  has  changed  so  much  nobody  is  the  same  anymore    I  love  all  of  you  man    Have  a  good  life  and  stay  safe  with  your  family  ,163
RBumgq5yVrA,UgzRxaI_HHhJ_it0sQ94AaABAg,I  did  let  her  go    After  5  years    But    my  heart  still  holds  on    Will  it  ever  let  her  go    I  don't  think  so    she  changed  the  direction  of  my  life  and  who  I  am  today    Somewhere    we  got  lost  without  communication  and  in  the  mundanity  of  life    it  was  hard  to  hold  on    it  was  getting  repetitive    So    we  decided  to  let  go    But  our  hearts    They  still  hold  on    I  hope  she  lives  her  best  life  out  there  and  I  do  too    I've  heard  the  song  plenty  times  before  this    but  today    I  felt  the  words      18  11  21    the  day  I  felt  truly  alone  again    I  miss  you  avi  ,54
RBumgq5yVrA,UgzvG1vKJYsHOufzIBd4AaABAg,This  song  and    Love  Me    by  Lukaz  are  some  of  the  only  things  getting  me  through  these  hard  times    thank  god  for  music    I  love  you    ,6
RBumgq5yVrA,UgzASMU83Db3S7iYIgx4AaABAg,Let's  be  honest  this  song  is  still  so  legendary  ,3806
RBumgq5yVrA,UgxRFlOexP6kWg9PyUZ4AaABAg,I  haven't  heard  this  while  but  this  song  remind  me  to  see  all  memorys  pass  when  you  see  part  of  good  moments  are  fun  ,2
RBumgq5yVrA,Ugyj8Pz-P1iJdMCgA7B4AaABAg,Listening  to  this  song  brings  back  some  memories  even  today  ,4
RBumgq5yVrA,UgwpEKnK1VUTcyilZGp4AaABAg,Honestly    this  song  has  more  meaning  to  me  now  than  it  did  before  ,1643
RBumgq5yVrA,UgxPqsNvaPNMs1HCm2J4AaABAg,It  is  crazy  how  so  many  people  come  back  to  this  awesome  song  everyday  ,2
RBumgq5yVrA,Ugx2vDSIFqGGyNnTiJh4AaABAg,This  song  is  really  masterpiece  ,2
RBumgq5yVrA,Ugx0zOWmydBEqd9EWmZ4AaABAg,The  saddest  part  of  life  is  when  the  person  who  gave  you  the  best  memories  becomes  a  memory,42021
RBumgq5yVrA,UgyG3sdhZ0dxs1Htsx54AaABAg,I  thank  my  dad  who  showed  this  song  to  me    It  is  a  masterpiece  ,3
RBumgq5yVrA,UgyqchdDiGxzZFpGDdF4AaABAg,Lowered  my  brother  to  rest  with  this  song  as  his  tribute    this  song  is  unconditionally  attached  to  my  heart  and  feelings    I  ll  see  you  soon  my  brother  ,8
RBumgq5yVrA,Ugyi-EYRtso4pOB97Gd4AaABAg,10  years  later  and  this  song  still  hits  different    Truly  a  masterpiece        ,72
RBumgq5yVrA,UgwKeL1-bhMufr03Q_x4AaABAg,It's  crazy  how  many  peoples  come  back  to  this  everysecond    this  song  is  legendary    it's  so  addictive  ,139
